response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
1,no,30 - 39,Male,at home;on the bed,Yes,cell phone,Yes,Yes,Yes,Yes,Yes,No,Yes,I think such operation is very completed,NA
2,no,30 - 39,Male,at home;on the bed;in the gym;on the commute,Yes,cell phone,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Might be difficult to remember for starters.,
3,no,18 - 29,Male,at home,No,laptop,Not Sure,Not Sure,Yes,No,No,Yes,Yes,,
4,yes,30 - 39,Male,at home;on the bed;in the gym;on the commute,Yes,cell phone,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
5,no,30 - 39,Female,at home,Yes,cell phone,Yes,Not Sure,Yes,No,No,Yes,Yes,it would be difficult to remember the different number of touches to the action and I think users will end up doing a different function.,No
6,no,30 - 39,Male,at home,No,cell phone,No,Yes,Yes,No,Not Sure,Yes,Not Sure,"Too many taps.  Needs some other method thats not memorizing how many taps perform a certain function.  5 seconds is too long,",maybe slide back to go back and forward to go forward -- use a capacitive touch surface
7,yes,30 - 39,Male,at home,Yes,cell phone,Yes,Not Sure,Yes,No,No,Yes,Yes,to complicated,
8,no,30 - 39,Male,at home,Yes,cell phone,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A bit confusing,Why not use sign language?
9,no,18 - 29,Female,at home;on the bed,No,cell phone,No,Yes,No,Yes,Yes,Yes,No,,
10,no,18 - 29,Male,at home;on the bed,No,I didn’t watch any videos in the gym,No,Not Sure,Yes,Yes,Yes,Not Sure,Yes,,
11,yes,30 - 39,Male,at home,No,I didn’t watch any videos in the gym,Not Sure,No,Yes,No,Not Sure,No,Yes,,
12,no,30 - 39,Female,at home;on the bed;on the commute,Yes,cell phone,Yes,Yes,Yes,Yes,Yes,Yes,Yes,That would be good.,Does it allow some local space to download videos instead of using wifi.
13,yes,18 - 29,Male,at home;on the commute,No,I didn’t watch any videos in the gym,No,Yes,Yes,Yes,Yes,No,Not Sure,I think this may be error prone; 5 seconds is actually a long time to execute this command.,I really don't see this prototype working out in a gym setting but I've been wrong before...
14,no,30 - 39,Male,on the bed;in the gym;on the commute,Yes,cell phone,Yes,Yes,Yes,Not Sure,Not Sure,Not Sure,No,,
15,no,40 - 49,Male,at home,No,cell phone,Not Sure,Yes,Yes,No,No,Yes,Yes,"not easy at first but could adapt and work well, I do like the idea",NA
