response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1,30 - 39,Yes,Udemy;Udacity;Coursera;YouTube,No,5,5,Yes,5
2,18 - 29,Yes,Udemy;Udacity;Coursera,Yes,5,3,Yes,3
3,18 - 29,Yes,Udemy;Udacity;Coursera,Yes,3,4,Yes,3
4,30 - 39,Yes,Udemy;Udacity;Coursera;YouTube;Edx,No,5,4,Yes,5
5,18 - 29,Yes,Udemy;Udacity;YouTube,Yes,4,5,Yes,4
6,18 - 29,Yes,Udemy;Udacity;Coursera;YouTube;Edx,Yes,4,5,Yes,4
7,50 - 64,Yes,Udemy;Udacity;Coursera;YouTube;Khan Acadmy;Edx,No,3,2,No,5
8,30 - 39,No,Udacity,Yes,5,3,Yes,3
9,30 - 39,Yes,Udemy;Udacity;Coursera;YouTube,No,4,4,Yes,4
10,18 - 29,No,Udacity,No,3,3,No,3
11,40 - 49,Yes,Udemy;Udacity;Coursera;YouTube,Yes,3,2,No,3
12,18 - 29,No,Udacity,Yes,4,4,Yes,4
13,30 - 39,Yes,Udemy;Udacity;Coursera;YouTube;Khan Acadmy;Edx;others,Yes,5,5,Yes,5
14,30 - 39,Yes,Udemy;Udacity;Edx,Yes,3,5,No,4
15,30 - 39,Yes,Udemy;Udacity;Coursera;YouTube;Edx,Yes,2,3,Yes,3
16,30 - 39,No,Udacity;YouTube;Edx,Yes,4,3,Yes,4
17,50 - 64,Yes,Udemy;Udacity;YouTube,No,3,4,Yes,5
18,50 - 64,Yes,Udacity,Yes,4,4,No,3
19,18 - 29,No,Udacity;YouTube,Yes,5,5,No,4
20,18 - 29,Yes,Udemy;Udacity;Coursera,No,4,5,Yes,5
21,30 - 39,Yes,Udacity;Coursera,Yes,4,4,Yes,4
22,18 - 29,Yes,Udemy;Udacity,Yes,4,5,No,4
23,18 - 29,Yes,Udemy;YouTube;Khan Acadmy,Yes,2,5,No,4
24,18 - 29,No,Udacity;YouTube;Khan Acadmy,Yes,5,5,Yes,5
25,18 - 29,Yes,Udemy;Udacity;Coursera;YouTube;Khan Acadmy;Edx,Yes,4,4,Yes,3
26,30 - 39,Yes,Udemy;Udacity;Coursera;Edx,No,5,3,No,3
27,18 - 29,Yes,Udemy;Udacity;Coursera;YouTube,No,3,2,Yes,5
28,18 - 29,No,Udacity;Coursera;YouTube,Yes,4,3,Yes,2
29,18 - 29,Yes,Udemy;Udacity;Coursera;YouTube,Yes,4,5,Yes,4
30,40 - 49,Yes,Udemy;Coursera;YouTube;Edx;others,Yes,3,1,Yes,1
31,18 - 29,Yes,Udemy;Coursera;Khan Acadmy,Yes,5,5,Yes,5
32,18 - 29,Yes,Udemy;Udacity;Coursera;YouTube;Khan Acadmy;Edx,No,4,4,Yes,5
33,18 - 29,Yes,Udemy;Udacity;Coursera;YouTube;Khan Acadmy;Edx,Yes,4,5,Yes,5
34,18 - 29,Yes,Udemy;Udacity;Coursera,Yes,2,4,No,3
35,18 - 29,Yes,Udemy;Udacity;YouTube,Yes,4,3,Yes,5
36,30 - 39,Yes,Udemy;Udacity;YouTube,Yes,4,4,No,3
37,18 - 29,Yes,Udemy;Udacity;Coursera;others,Yes,3,4,Yes,4
38,30 - 39,Yes,Udemy;Udacity;Coursera;YouTube,No,4,4,Yes,4
39,30 - 39,Yes,Udemy;Udacity;Coursera,Yes,4,4,Yes,4
40,30 - 39,Yes,Udemy;Udacity;Coursera;Khan Acadmy,Yes,3,4,No,4
