response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
1,yes,18 - 29,female,computer,don't like it,I have a video based online system at work which looks easier to use. Less clutter.,yes,new interface listed above,don't like it,extremely unnecessary,don't like it,yes,don't like it,
2,yes,30 - 39,male,computer,like it,,yes,new interface listed above,like it,necessary,like it,yes,like it,
3,yes,18 - 29,male,computer,neutral,,yes,new interface listed above,neutral,neutral,neutral,yes,like it,
4,yes,18 - 29,female,computer,don't like it,"I'm a little confused as to what I need to do. There are a lot of random symbols everywhere, and it makes their purpose confusing.",yes,the original piazza interface,neutral,unnecessary,like it,yes,like it,
5,yes,18 - 29,male,computer,like it,Good interface,yes,new interface listed above,like it,unnecessary,neutral,yes,like it,I really like this version
6,yes,30 - 39,male,computer,don't like it,Having a video recording for a quiz would make me uncomfortable. It also seems quite unnecessary ,yes,the original piazza interface,neutral,extremely unnecessary,like it,yes,neutral,
7,yes,18 - 29,male,computer,neutral,It looks good but not sure if it is suitable for more complicated test material.,yes,new interface listed above,like it,necessary,neutral,yes,like it,None I can think of.
8,yes,30 - 39,male,computer,like it,more information than current interface ,yes,new interface listed above,like it,necessary,like it,yes,like it,
9,yes,18 - 29,male,computer,neutral,don't understand the recording answer part,yes,new interface listed above,like it,neutral,like it,yes,extremely like it,
10,yes,18 - 29,male,computer,don't like it,"Having three side by side play buttons was confusing at first glance, and I feel that a video format quiz would be awful as it would take a lot of time and energy to listen and respond to each question verbally",yes,the original piazza interface,like it,extremely unnecessary,like it,yes,like it,
11,yes,18 - 29,male,computer,like it,It makes it obvious about how to record and delete specific takes. ,yes,new interface listed above,like it,neutral,like it,yes,like it,"Again, something such as a disclaimer as certain questions may be thrown out. "
12,yes,18 - 29,male,computer,like it,The interface feels a bit cluttered,yes,new interface listed above,like it,neutral,like it,yes,like it,
13,yes,50 - 64,male,smartphone,neutral,,yes,the original piazza interface,don't like it,extremely necessary,don't like it,yes,like it,
14,yes,30 - 39,female,computer,like it,Video could be interesting but not sure it is necessary.,yes,the original piazza interface,neutral,unnecessary,neutral,yes,like it,
15,yes,30 - 39,female,computer,extremely don't like it,I think the need to pause the video to get information needed to answer the question would be more of a hinderance to the test taker. ,yes,the original piazza interface,like it,unnecessary,don't like it,yes,don't like it,
16,yes,30 - 39,male,computer,like it,too many contents,yes,the original piazza interface,neutral,unnecessary,like it,yes,like it,great interface
17,yes,30 - 39,male,computer,extremely like it,The fonts seems too big,yes,the original piazza interface,like it,unnecessary,like it,yes,like it, what is the meaning of the submission button?
18,no,18 - 29,male,computer,neutral,,no,new interface listed above,like it,necessary,neutral,yes,like it,
19,yes,18 - 29,female,computer,don't like it,There are too many things within one page.,no,the original piazza interface,like it,unnecessary,don't like it,yes,like it,I'm not sure why user would need four types of bookmark and have time to decide which bookmark they'll use in a stressful environment.
